,title,href,company,compensation1,compensation2,money_type,source
87,Программист 1С 8,https://www.superjob.ru/vakansii/programmist-1s-8-31607317.html,ТД Джеcсика,,,,superjob.ru
88,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32703300.html,Русклимат,100000,150000,руб,superjob.ru
89,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32825056.html,Тануки,120000,150000,руб,superjob.ru
90,Инженер-программист станков с ЧПУ,https://www.superjob.ru/vakansii/inzhener-programmist-stankov-s-chpu-32867859.html,Опытный завод МЭИ,45000,,руб,superjob.ru
91,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32715873.html,Мосхладокомабинат № 14,40000,40000,руб,superjob.ru
92,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32866785.html,СТРАТЕГИЯ,120000,120000,руб,superjob.ru
93,Веб-программист (PHP),https://www.superjob.ru/vakansii/veb-programmist-31375774.html,НПП Гарант Сервис Университет,90000,90000,руб,superjob.ru
94,Программист / Ведущий программист,https://www.superjob.ru/vakansii/programmist-32156516.html,"ФГБУ ДПО ""Центральная государственная медицинская академия"" Управления делами Президента РФ",60000,70000,руб,superjob.ru
95,Программист,https://www.superjob.ru/vakansii/programmist-32508997.html,"""НПО ""Алмаз"" (""ГСКБ ""Алмаз-Антей"")",70000,,руб,superjob.ru
96,Ведущий программист,https://www.superjob.ru/vakansii/veduschij-programmist-32587948.html,"Сеть магазинов ""Верный""",,,,superjob.ru
97,Программист DWH / BI,https://www.superjob.ru/vakansii/programmist-dwh-32587826.html,"Сеть магазинов ""Верный""",,,,superjob.ru
98,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32163768.html,Хит Машинери,130000,170000,руб,superjob.ru
99,Программист C++,https://www.superjob.ru/vakansii/programmist-c-32587664.html,Группа Компаний Д. А. Консалт,80000,120000,руб,superjob.ru
100,Инженер-технолог по металлообработке / Программист станков с ЧПУ,https://www.superjob.ru/vakansii/inzhener-tehnolog-po-metalloobrabotke-32863372.html,СтанкоИмпульс,60000,140000,руб,superjob.ru
101,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-12051692.html,,,,,superjob.ru
102,Программист C#,https://www.superjob.ru/vakansii/programmist-c-32806997.html,НКО Инкахран,,,,superjob.ru
103,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32845373.html,Органайзер,,,,superjob.ru
104,Инженер-программист,https://www.superjob.ru/vakansii/inzhener-programmist-32707815.html,Новые Лазерные Технологии,100000,,руб,superjob.ru
105,Программист (системный администратор),https://www.superjob.ru/vakansii/programmist-32859338.html,"ФГБУ ""Поликлиника №4"" Управления делами Президента РФ",,,,superjob.ru
106,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32859027.html,Группа Компаний Актио,100000,,руб,superjob.ru
107,Программист 1С 8,https://www.superjob.ru/vakansii/programmist-1s-8-31698967.html,НПП Спецкабель,130000,150000,руб,superjob.ru
108,Ведущий инженер-программист,https://www.superjob.ru/vakansii/veduschij-inzhener-programmist-32653614.html,ВНИИХОЛОДМАШ,,,,superjob.ru
109,Программист сайтов 1С Битрикс,https://www.superjob.ru/vakansii/programmist-sajtov-1s-bitriks-32216267.html,"ФГАНУ ""Социоцентр""",80000,,руб,superjob.ru
110,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32271142.html,LEO-VENTONI,120000,,руб,superjob.ru
111,Технолог-программист на производство по выпуску электротехнического оборудования,https://www.superjob.ru/vakansii/tehnolog-programmist-na-proizvodstvo-po-vypusku-elektrotehnicheskogo-oborudovaniya-32704514.html,Технолог,,,,superjob.ru
112,"Программист, оператор станка с ЧПУ",https://www.superjob.ru/vakansii/programmist-32783848.html,АН-трейд,,,,superjob.ru
113,"Техник-программист, помощник системного администратора",https://www.superjob.ru/vakansii/tehnik-programmist-28075602.html,"Медицинское учреждение женского здоровья ""Белая роза""",55000,,руб,superjob.ru
114,Программист,https://www.superjob.ru/vakansii/programmist-28979754.html,ФГБУ ФГБУ ФНКЦ специализированных видов медицинской помощи и медицинских технологий ФМБА России,100000,,руб,superjob.ru
115,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32650430.html,Энитэль,90000,,руб,superjob.ru
116,Программист-аналитик 1С,https://www.superjob.ru/vakansii/programmist-analitik-1s-32783301.html,Артекс,,,,superjob.ru
117,Ведущий инженер-программист,https://www.superjob.ru/vakansii/veduschij-inzhener-programmist-30525831.html,Центральная поликлиника ФТС России,30000,35000,руб,superjob.ru
118,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32849938.html,СтройПерсонал,,,,superjob.ru
119,Инженер-программист АСУ ТП / Инженер-программист КИПиА / Инженер-электроник,https://www.superjob.ru/vakansii/inzhener-programmist-asu-tp-31921033.html,ИНТЕЛЛЕКТ-СТРОЙ,,,,superjob.ru
